user_id,question_id,subject,topic,answer_correct,confidence,time_taken,expected_time
S1,93,DSA,Stack,0,3,7,8.0
S1,73,DSA,Stack,0,5,4,8.0
S1,278,DSA,Queue,0,1,12,8.0
S1,2,DSA,Stack,1,4,14,
S1,146,DSA,Stack,1,4,10,8.0
S1,262,DSA,Queue,1,2,10,8.0
S1,152,DSA,Stack,1,5,15,8.0
S1,115,DSA,Stack,0,2,8,8.0
S1,288,DSA,Queue,0,5,10,8.0
S1,229,DSA,Queue,1,4,13,8.0
S2,52,DSA,Stack,0,2,8,8.0
S2,12,DSA,Stack,0,3,11,8.0
S2,19,DSA,Stack,0,2,11,8.0
S2,28,DSA,Stack,1,3,12,8.0
S2,133,DSA,Stack,0,2,13,8.0
S2,283,DSA,Queue,1,4,4,8.0
S2,246,DSA,Queue,1,3,13,8.0
S2,66,DSA,Stack,0,1,3,8.0
S2,55,DSA,Stack,0,4,6,8.0
S2,32,DSA,Stack,1,2,14,8.0
S3,198,DSA,Queue,0,3,5,8.0
S3,246,DSA,Queue,1,5,11,8.0
S3,42,DSA,Stack,0,1,7,8.0
S3,72,DSA,Stack,0,5,9,8.0
S3,81,DSA,Stack,1,3,10,8.0
S3,83,DSA,Stack,1,4,7,8.0
S3,281,DSA,Queue,0,3,11,8.0
S3,8,DSA,Stack,0,5,12,
S3,9,DSA,Stack,0,2,15,
S3,233,DSA,Queue,1,2,6,8.0
S4,41,DSA,Stack,1,1,9,8.0
S4,160,DSA,Stack,0,4,8,8.0
S4,106,DSA,Stack,1,5,15,8.0
S4,161,DSA,Stack,1,1,8,8.0
S4,265,DSA,Queue,1,4,6,8.0
S4,157,DSA,Stack,1,5,7,8.0
S4,200,DSA,Queue,0,1,13,8.0
S4,127,DSA,Stack,1,2,10,8.0
S4,53,DSA,Stack,1,5,3,8.0
S4,129,DSA,Stack,0,5,12,8.0
S5,56,DSA,Stack,0,5,14,8.0
S5,216,DSA,Queue,0,4,5,8.0
S5,265,DSA,Queue,1,2,5,8.0
S5,5,DSA,Stack,1,2,14,
S5,201,DSA,Queue,0,1,4,8.0
S5,49,DSA,Stack,0,4,13,8.0
S5,241,DSA,Queue,1,3,10,8.0
S5,38,DSA,Stack,1,3,6,8.0
S5,195,DSA,Queue,0,5,12,8.0
S5,287,DSA,Queue,1,3,10,8.0
S6,112,DSA,Stack,1,5,5,8.0
S6,35,DSA,Stack,0,1,4,8.0
S6,194,DSA,Queue,0,4,3,8.0
S6,113,DSA,Stack,1,3,13,8.0
S6,95,DSA,Stack,0,2,3,8.0
S6,68,DSA,Stack,0,3,7,8.0
